Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,..,7949253766,28619991392,28330632929,30432796306,31329367173,27239653844,28052325862,30458763246,34416012859,34102913582,..
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,2838485354,17260364842,39927125961,44035991746,46909335135,48134486625,49939374833,51205122504,53140638269,54961275742,51991634492,..
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,596415104.5,887295267.9,2622336148,2526185314,2421470018,2499803984,2372280103,2165408359,2405289384,2575892262,2376328637,..
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,..,874000000,2398000000,2721000000,3067000000,3144000000,3177000000,3277826000,3285455000,3264000000,3070518100,..
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,28901836158,38270206950,34699395524,81873662519,65502870174,41142722414,27842131480,26197143268,37883243650,52607888718,52091152228,..
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,1421466240,2483953103,5739977477,5456009385,6391735894,6657170923,6268391521,6237264055,6552858739,6876981286,..,..
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,..,11524776867,43582248870,42943442158,46514471182,48574531942,41418872976,43018087238,47758736932,53722883091,54627411860,..
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,13229247948,21263514833,60004630234,56677961787,61739352212,66103853237,57744457955,60691483443,64181944723,70919958016,71104919108,..
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,3220920085,6720492406,36709860068,43031577366,51552075902,55347998648,45361678147,45387299721,50751059058,55084050790,53859116536,..
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,3931334871,4629247091,11551821062,11578978053,12423557907,12522959157,11323023787,11848615018,13176313233,13853433948,14114631281,..
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,1880771556,1743506531,8004000737,6028487929,5518880769,6047813437,6373212641,5433040160,6303292264,6917301909,7666704427,..
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,44024178343,93789736842,2.98E+11,3.14E+11,3.23E+11,3.38E+11,3.01E+11,3.01E+11,3.19E+11,3.59E+11,3.65E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,215089005.2,624337145.3,2774351760,2886170572,3295011382,3697351594,4109447297,4379115588,4754352301,5299773145,5642179170,..
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,2681912030,2954129566,12995074801,12441946098,13242680705,14364859446,13104802016,14025944550,15365627045,17070758732,17279566719,..
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,2547163582,4069515557,9638916472,9462238257,10551661220,11626281450,11091434435,11665231192,13146963159,14750790658,14989415684,..
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,78476000,115347500,174332100,182874800,187707400,184689500,184599600,200558400,212881000,221278000,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,1506914408,1779521110,6764635687,6728208836,7223063170,6592537782,6166857629,6398744505,6758390729,7049169771,7600656944,..
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,2653480001,4663313620,11518393367,11668685524,12129642296,12803445934,11692287066,12232463656,13259351418,14181951059,14048430519,..
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,2.61E+11,7.08E+11,1.18E+12,1.20E+12,1.27E+12,1.32E+12,1.17E+12,1.08E+12,1.16E+12,1.22E+12,1.27E+12,..
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,147200000,233271800,311301600,327248700,317214400,319271200,316489900,332265200,366666800,401932300,..,..
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,..,1288429392,8414360656,8709165249,9496684701,9510219299,7745231660,8071480541,9669759987,11456717193,11968713370,..
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,2481316054,2647883816,6088808463,5743029680,6555983530,7069616049,6261622101,6472990923,6431314957,7188238073,..,..
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,2560785660,1136896124,10409797649,12292770631,12582122604,12226514722,11749620620,11186734674,11425755280,13108769496,13996719329,..
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,..,984297589.4,4544575152,4087561650,4464502434,4587741791,4053097851,4373958354,4844606146,5504255214,5542577965,..
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,30180108562,38857251336,1.01E+11,98266306615,1.07E+11,1.10E+11,1.01E+11,1.03E+11,1.10E+11,1.18E+11,1.20E+11,..
GDP (current US$),NY.GDP.MKTP.CD,Mozambique,MOZ,..,5656473652,14381552433,16350804543,16974320551,17716084108,15950969019,11936999283,13219084261,14845870051,15291448212,..
GDP (current US$),NY.GDP.MKTP.CD,Myanmar,MMR,..,8905066164,59977326086,59937797559,60269734045,65446199788,67822772707,67184236747,68945867478,76168043982,76085852617,..
GDP (current US$),NY.GDP.MKTP.CD,Namibia,NAM,2785764518,3833993703,12343501808,13041886316,12011207741,12356482989,11272143473,10665634688,12741746524,13454211344,12366528259,..
GDP (current US$),NY.GDP.MKTP.CD,Nauru,NRU,..,..,66055407.67,96927201.48,98491843.64,104654365.2,86779266.16,100087349,109585941.6,124021393.7,118223430.1,..
GDP (current US$),NY.GDP.MKTP.CD,Nepal,NPL,3627562403,5494252208,18913574371,18851513891,19271168018,20002968838,21410840909,21185922408,25180583770,29173513476,30641380604,..
GDP (current US$),NY.GDP.MKTP.CD,Netherlands,NLD,3.18E+11,4.16E+11,9.04E+11,8.39E+11,8.77E+11,8.91E+11,7.65E+11,7.84E+11,8.34E+11,9.14E+11,9.07E+11,..
GDP (current US$),NY.GDP.MKTP.CD,New Caledonia,NCL,2529310104,2682347064,..,..,..,..,..,..,..,..,..,..
